group_no,cultivar,quality_grade,frames,original_split,split,cv_fold
601142019000,yanggwang,M,40,train,train,3
601142020000,yanggwang,M,40,train,train,1
601142021000,yanggwang,M,40,train,train,4
601142022000,yanggwang,M,40,train,train,3
601142023000,yanggwang,M,40,train,train,1
601142024000,yanggwang,M,40,train,train,1
601142025000,yanggwang,M,40,train,train,4
601142026000,yanggwang,M,40,train,train,3
601142027000,yanggwang,M,40,train,train,4
601142028000,yanggwang,M,40,train,test,
601142029000,yanggwang,M,40,train,test,
601142030000,yanggwang,M,40,train,validation,0
601142031000,yanggwang,M,40,train,train,3
601142032000,yanggwang,M,40,train,train,0
601142033000,yanggwang,M,40,train,train,4
601142034000,yanggwang,M,40,train,train,2
601142035000,yanggwang,M,40,train,validation,0
601142036000,yanggwang,M,40,train,train,3
601142037000,yanggwang,M,40,train,validation,0
601142038000,yanggwang,M,16,train,train,1
601142063000,yanggwang,M,21,validation,train,0
601142064000,yanggwang,M,40,validation,test,
601142065000,yanggwang,M,40,validation,train,3
601142066000,yanggwang,M,40,validation,train,1
601142067000,yanggwang,M,40,validation,train,1
601142068000,yanggwang,M,40,validation,train,1
601142069000,yanggwang,M,40,validation,train,2
601142070000,yanggwang,M,40,validation,train,2
601142071000,yanggwang,M,40,validation,train,4
601142072000,yanggwang,M,40,validation,train,4
601142073000,yanggwang,M,40,validation,train,2
601142074000,yanggwang,M,40,validation,validation,2
601142075000,yanggwang,M,40,validation,test,
601143001000,yanggwang,S,184,train,train,0
601143002000,yanggwang,S,184,train,train,2
601143003000,yanggwang,S,184,train,train,4
601143004000,yanggwang,S,184,train,train,4
601143005000,yanggwang,S,184,train,validation,3
601143006000,yanggwang,S,184,train,validation,2
601143007000,yanggwang,S,184,train,train,4
601143008000,yanggwang,S,184,train,test,
601143009000,yanggwang,S,184,train,train,1
601143010000,yanggwang,S,184,train,train,1
601143011000,yanggwang,S,184,train,train,2
601143012000,yanggwang,S,184,train,train,3
601143013000,yanggwang,S,184,train,test,
601143014000,yanggwang,S,184,train,validation,2
601143015000,yanggwang,S,184,train,test,
601143016000,yanggwang,S,184,train,train,0
601143017000,yanggwang,S,184,train,train,1
601143018000,yanggwang,S,184,train,train,1
601143019000,yanggwang,S,184,train,validation,4
601143020000,yanggwang,S,184,train,train,0
601143021000,yanggwang,S,107,train,train,2
601143027000,yanggwang,S,8,validation,validation,1
601143028000,yanggwang,S,184,validation,test,
601143029000,yanggwang,S,40,validation,train,2
601143030000,yanggwang,S,40,validation,train,0
601143031000,yanggwang,S,40,validation,train,0
601143032000,yanggwang,S,40,validation,train,0
601143033000,yanggwang,S,40,validation,train,3
601143034000,yanggwang,S,40,validation,test,
601143035000,yanggwang,S,40,validation,train,4
601143036000,yanggwang,S,40,validation,train,3
601143037000,yanggwang,S,30,validation,train,3
